Process Name,Count
cpuhp/0,1
cpuhp/1,1
cpuhp/2,1
cpuhp/3,1
colord,1
kworker/1:0H,1
acpid,1
unity-music-daemon,1
cups-browsed,1
scsi_tmf_2,1
systemd-logind,1
gnome-session-binary,1
dbus-daemon,3
krfcommd,1
gvfs-mtp-volume-monitor,1
systemd,2
khugepaged,1
gnome-keyring-daemon,1
snapd,1
kworker/3:0H,1
apache2,6
upowerd,1
gpg-agent,1
Xorg,1
avahi-daemon,2
plugin_host,1
docker-containerd,1
cfg80211,1
bamfdaemon,1
kworker/1:1H,1
python,42
scsi_eh_2,1
kworker/0:1,1
kworker/0:0,1
kworker/0:2,1
kworker/2:2,1
dhclient,1
remmina,1
ata_sff,1
crypto,1
notify-osd,1
thermald,1
dnsmasq,1
sublime_text,1
ecryptfs-kthrea,1
kworker/2:1,1
kworker/2:0,1
indicator-application-service,1
unity-scope-loader,1
ibus-x11,1
unity-settings-daemon,1
charger_manager,1
cron,1
devfreq_wq,1
compiz,1
dockerd,1
indicator-bluetooth-service,1
gvfsd-trash,1
rcu_bh,1
ibus-dconf,1
edac-poller,1
unity-fallback-mount-helper,1
window-stack-bridge,1
systemd-timesyncd,1
rcu_sched,1
python2.7,2
zeitgeist-daemon,1
upstart-udev-bridge,1
rsyslogd,1
irqbalance,1
jbd2/sda5-8,1
writeback,1
uuidd,1
indicator-sound-service,1
jbd2/sda1-8,1
i915/signal:4,1
kstrp,1
i915/signal:0,1
i915/signal:1,1
i915/signal:2,1
jbd2/sda2-8,1
inet_gethost,2
ipv6_addrconf,1
nm-applet,1
mysql-workbench,1
loop3,1
loop2,1
loop1,1
loop0,1
teamviewerd,1
kworker/1:1,1
kworker/1:2,1
loop4,1
sshd,1
kswapd0,1
evolution-addressbook-factory-subprocess,1
indicator-session-service,1
systemd-udevd,1
gvfs-afc-volume-monitor,1
kworker/3:2,1
kworker/3:0,1
kworker/3:1,1
syndaemon,1
agetty,1
acpi_thermal_pm,1
kauditd,1
evolution-addressbook-factory,1
mysqld,1
kmemstick,1
ibus-ui-gtk3,1
beam.smp,1
upstart-dbus-bridge,2
kworker/u8:49,1
ibus-engine-simple,1
at-spi2-registryd,1
gvfsd-network,1
wpa_supplicant,1
scsi_eh_0,1
scsi_eh_1,1
ksmd,1
gvfs-goa-volume-monitor,1
kworker/2:0H,1
irq/130-iwlwifi,1
watchdog/1,1
skypeforlinux,4
watchdogd,1
mm_percpu_wq,1
code,9
gvfsd,1
java,1
polkitd,1
chrome,23
kworker/1:0,1
watchdog/2,1
watchdog/3,1
watchdog/0,1
gvfs-udisks2-volume-monitor,1
mysql-workbench-bin,1
indicator-keyboard-service,1
loop5,1
scsi_tmf_1,1
netns,1
kthrotld,1
migration/0,1
evolution-calendar-factory,1
unity-scope-home,1
dconf-service,1
ibus-daemon,1
whoopsie,1
gnome-terminal-server,1
indicator-datetime-service,1
python3.5,2
scsi_tmf_0,1
NetworkManager,1
kcompactd0,1
kworker/u9:1,1
kworker/u9:2,1
redis-server,1
md,1
gvfsd-dnssd,1
nacl_helper,1
kblockd,1
cat,2
gvfs-gphoto2-volume-monitor,1
ext4-rsv-conver,3
at-spi-bus-launcher,1
khungtaskd,1
upstart-file-bridge,1
ksoftirqd/3,1
ksoftirqd/2,1
ksoftirqd/1,1
ksoftirqd/0,1
nautilus,1
indicator-messages-service,1
migration/2,1
migration/3,1
lightdm,2
migration/1,1
accounts-daemon,1
deja-dup-monitor,1
systemd-journald,1
rcu_tasks_kthre,1
unity-files-daemon,1
gvfsd-http,1
bash,6
oom_reaper,1
zeitgeist-datahub,1
rtkit-daemon,1
(sd-pam),1
epmd,1
sh,1
kworker/0:1H,1
irq/126-mei_me,1
kintegrityd,1
upstart,1
evolution-calendar-factory-subprocess,2
indicator-power-service,1
kworker/0:0H,1
catchsegv,1
hud-service,1
evolution-source-registry,1
zeitgeist-fts,1
bluetoothd,1
kworker/2:1H,1
kthreadd,1
polkit-gnome-authentication-agent-1,1
anydesk,2
kworker/3:1H,1
pulseaudio,1
gvfsd-metadata,1
kworker/u8:8,1
rabbitmq-server,2
kworker/u8:7,1
unity-panel-service,1
kworker/u8:0,1
udisksd,1
gvfsd-fuse,1
cupsd,1
kdevtmpfs,1
